I be(mA)	I ce(mA)	U(Ib)	I(Ib)0E+0	I(Ib)100E-3	I(Ib)200E-3	I(Ib)300E-3	I(Ib)400E-3	I(Ib)500E-3	I be(mA)	U be (V)	Ube(Ib)0E+0	Ube(Ib)100E-3	Ube(Ib)200E-3	Ube(Ib)300E-3	Ube(Ib)400E-3	Ube(Ib)500E-3	
0	0,098	0	0,098	-0,146	-0,391	-0,586	-0,83	-1,025	0	0	-24,414	56,152	63,477	63,477	63,477	63,477
0,01	2,441	0	0	0,049	0	-0,049	-0,146	-0,195	0,01	0,586	0	57,129	64,453	64,941	64,941	64,941
0,02	5,518	0	0	0,293	0,488	0,586	0,732	0,781	0,02	0,62	0	58,594	65,43	65,918	65,918	65,918
0,03	8,398	0	0	0,586	1,074	1,465	1,807	2,002	0,03	0,635	0	59,57	66,406	66,895	66,895	66,895
0,04	11,377	0	0	1,025	1,904	2,539	3,027	3,467	0,04	0,649	0	60,547	67,383	67,871	67,871	67,871
0,05	14,16	0	0	1,562	2,93	3,809	4,59	5,176	0,05	0,659	0	61,523	68,359	68,848	68,848	68,848
0,06	16,992	0	0	2,246	4,053	5,273	6,25	7,08	0,06	0,674	0	62,5	68,848	69,336	69,336	69,824
0,07	19,678	0	0	3,076	5,42	6,982	8,154	9,131	0,07	0,679	0	63,477	69,824	70,312	70,312	70,312
0,08	22,412	0	0	4,004	6,934	8,789	10,205	11,377	0,08	0,688	0	64,453	70,312	71,289	71,289	71,289
0,09	25	0	0	5,127	8,545	10,742	12,402	13,77	0,09	0,693	0	65,43	71,289	71,777	71,777	72,266
0,1	27,686	0	0	6,25	10,254	12,744	14,648	16,162	0,1	0,698	0	65,918	71,777	72,266	72,754	72,754
0,11	30,176	0	0	7,471	12,012	14,795	16,943	18,652	0,11	0,703	0	66,895	72,266	73,242	73,242	73,242
0,12	32,715	0	0	8,74	13,77	16,895	19,238	21,191	0,12	0,708	0	67,383	72,754	73,73	73,73	74,219
0,13	35,107	0	0	10,01	15,527	18,945	21,582	23,73	0,13	0,713	0	67,871	73,242	74,219	74,219	74,707
0,14	37,598	0	0	11,23	17,187	20,947	23,828	26,123	0,14	0,713	0	68,359	73,73	74,707	74,707	75,195
0,15	39,893	0	0	12,402	18,799	22,852	25,928	28,467	0,15	0,718	0	68,848	74,219	74,707	75,195	75,684
0,16	42,236	0	0	13,428	20,264	24,658	27,979	30,713	0,16	0,723	0	69,336	74,707	75,684	75,684	75,684
0,17	44,434	0	0	14,453	21,68	26,318	29,932	32,861	0,17	0,723	0	69,824	74,707	75,684	76,172	76,172
0,18	46,777	0	0	15,283	22,852	27,832	31,641	34,766	0,18	0,728	0	69,824	75,195	76,172	76,172	76,66
0,19	48,877	0	0	16,016	23,926	29,199	33,252	36,523	0,19	0,732	0	70,312	75,195	76,172	76,66	77,148
0,2	51,025	0	0	16,65	24,902	30,42	34,668	38,184	0,2	0,732	0	70,312	75,684	76,172	77,148	77,148
0,21	53,027	0	0	17,676	26,416	32,471	37,158	40,967	0,21	0,732	0	70,801	75,684	76,66	77,148	77,637
0,22	55,078	0	0	18,115	27,1	33,301	38,135	42,139	0,22	0,737	0	70,801	75,684	77,148	77,637	78,125
0,23	56,885	0	0	18,457	27,637	34,033	39,062	43,213	0,23	0,737	0	71,289	76,172	77,148	77,637	78,125
0,24	58,74	0	0	18,75	28,076	34,668	39,844	44,141	0,24	0,737	0	71,289	76,172	77,148	77,637	78,125
0,25	60,352	0	0	18,994	28,467	35,205	40,527	44,971	0,25	0,742	0	71,289	76,172	77,148	77,637	78,613
0,26	61,963	0	0	19,238	28,857	35,693	41,162	45,654	0,26	0,742	0	71,289	76,172	77,148	78,125	78,613
0,27	63,574	0	0	19,434	29,15	36,133	41,65	46,289	0,27	0,742	0	71,289	76,66	77,637	78,125	78,613
0,28	65,039	0	0	19,629	29,443	36,523	42,139	46,826	0,28	0,742	0	71,289	76,66	77,637	78,125	78,613
0,29	66,504	0	0	19,824	29,736	36,865	42,529	47,314	0,29	0,747	0	71,777	76,66	77,637	78,125	78,613
0,3	67,871	0	0	20,02	29,98	37,158	42,92	47,754	0,3	0,747	0	71,777	76,66	77,637	78,125	78,613
0,31	69,238	0	0	20,215	30,176	37,451	43,262	48,145	0,31	0,747	0	71,777	76,172	77,637	78,125	79,102
0,32	70,508	0	0	20,361	30,42	37,695	43,555	48,486	0,32	0,747	0	71,777	76,66	77,637	78,613	79,102
0,33	71,777	0	0	20,508	30,615	37,939	43,799	48,779	0,33	0,747	0	71,777	76,66	77,637	78,613	79,102
0,34	72,949	0	0	20,654	30,811	38,184	44,092	49,072	0,34	0,747	0	71,777	76,66	77,637	78,613	79,102
0,35	74,17	0	0	20,801	31,055	38,379	44,336	49,365	0,35	0,752	0	71,777	76,66	77,637	78,613	79,102
0,36	75,293	0	0	20,947	31,25	38,623	44,58	49,609	0,36	0,752	0	71,777	76,66	78,125	78,613	79,102
0,37	76,416	0	0	21,094	31,445	38,818	44,775	49,854	0,37	0,752	0	71,777	76,66	77,637	78,613	79,102
0,38	77,49	0	0	21,24	31,641	39,014	45,02	50,098	0,38	0,752	0	71,777	76,66	78,125	78,613	79,102
0,39	78,564	0	0	21,387	31,836	39,258	45,215	50,342	0,39	0,752	0	71,777	76,66	77,637	78,613	79,59
0,4	79,59	0	0	21,533	31,982	39,453	45,459	50,537	0,4	0,757	0	71,777	76,66	78,125	78,613	79,59
