U(V)	I(mA)
-5	-99,951
-4,99	-99,951
-4,98	-99,951
-4,97	-99,951
-4,96	-99,951
-4,95	-99,951
-4,94	-99,951
-4,93	-99,951
-4,92	-99,951
-4,91	-99,951
-4,9	-99,951
-4,89	-99,951
-4,88	-99,951
-4,87	-99,951
-4,86	-99,951
-4,85	-99,951
-4,84	-99,951
-4,83	-99,951
-4,82	-99,951
-4,81	-99,951
-4,8	-99,951
-4,79	-99,951
-4,78	-99,951
-4,77	-99,951
-4,76	-99,951
-4,75	-99,951
-4,74	-99,951
-4,73	-99,951
-4,72	-99,951
-4,71	-99,951
-4,7	-99,951
-4,69	-99,951
-4,68	-99,951
-4,67	-99,951
-4,66	-99,951
-4,65	-99,951
-4,64	-99,951
-4,63	-99,951
-4,62	-99,951
-4,61	-99,951
-4,6	-99,951
-4,59	-99,951
-4,58	-99,951
-4,57	-99,951
-4,56	-99,951
-4,55	-99,951
-4,54	-99,951
-4,53	-99,951
-4,52	-99,951
-4,51	-99,951
-4,5	-99,951
-4,49	-99,951
-4,48	-99,951
-4,47	-99,951
-4,46	-99,951
-4,45	-99,951
-4,44	-99,951
-4,43	-99,951
-4,42	-99,951
-4,41	-99,365
-4,4	-96,729
-4,39	-94,238
-4,38	-91,748
-4,37	-87,158
-4,36	-84,961
-4,35	-82,764
-4,34	-80,664
-4,33	-78,564
-4,32	-76,562
-4,31	-74,609
-4,3	-72,705
-4,29	-70,85
-4,28	-69,092
-4,27	-67,334
-4,26	-65,625
-4,25	-63,965
-4,24	-62,305
-4,23	-60,742
-4,22	-59,18
-4,21	-57,666
-4,2	-56,25
-4,19	-54,834
-4,18	-53,467
-4,17	-52,1
-4,16	-50,781
-4,15	-49,463
-4,14	-48,193
-4,13	-46,973
-4,12	-45,85
-4,11	-44,678
-4,1	-43,555
-4,09	-42,432
-4,08	-41,406
-4,07	-40,332
-4,06	-39,355
-4,05	-38,33
-4,04	-37,402
-4,03	-36,523
-4,02	-35,596
-4,01	-34,717
-4	-33,887
-3,99	-33,057
-3,98	-32,227
-3,97	-31,445
-3,96	-30,713
-3,95	-29,297
-3,94	-28,564
-3,93	-27,881
-3,92	-27,197
-3,91	-26,562
-3,9	-25,879
-3,89	-25,293
-3,88	-24,707
-3,87	-24,121
-3,86	-23,486
-3,85	-22,949
-3,84	-22,412
-3,83	-21,875
-3,82	-21,387
-3,81	-20,85
-3,8	-20,361
-3,79	-19,873
-3,78	-19,385
-3,77	-18,945
-3,76	-18,457
-3,75	-18,066
-3,74	-17,627
-3,73	-17,236
-3,72	-16,797
-3,71	-16,406
-3,7	-16,016
-3,69	-15,674
-3,68	-15,283
-3,67	-14,941
-3,66	-14,6
-3,65	-14,258
-3,64	-13,916
-3,63	-13,623
-3,62	-13,281
-3,61	-12,988
-3,6	-12,646
-3,59	-12,354
-3,58	-12,061
-3,57	-11,816
-3,56	-11,523
-3,55	-11,23
-3,54	-10,742
-3,53	-10,498
-3,52	-10,205
-3,51	-10,01
-3,5	-9,766
-3,49	-9,521
-3,48	-9,277
-3,47	-9,082
-3,46	-8,887
-3,45	-8,643
-3,44	-8,447
-3,43	-8,252
-3,42	-8,057
-3,41	-7,861
-3,4	-7,666
-3,39	-7,471
-3,38	-7,324
-3,37	-7,129
-3,36	-6,934
