U(V)	I(mA)0.0E+0	I(mA)1.0E+0	I(mA)1.5E+0	I(mA)2.0E+0	I(mA)2.5E+0	I(mA)2.7E+0	U gs (V)	I ds (mA)
0	0.098	0.098	0.049	-0.293	-0.635	-0.684	0	0.098
0.1	0.098	0.098	0.293	5.127	10.156	11.035	-0.101	0.098
0.2	0.098	0.098	0.342	8.496	19.873	22.168	-0.202	0.098
0.3	0.098	0.098	0.342	10.156	29.053	33.398	-0.303	0.098
0.4	0.098	0.098	0.342	10.596	35.84	42.529	-0.404	0.098
0.5	0.098	0.098	0.342	10.742	41.016	50.537	-0.505	0.098
0.6	0.098	0.098	0.342	10.742	44.629	57.324	-0.606	0.098
0.7	0.098	0.098	0.342	10.791	47.07	63.184	-0.707	0.098
0.8	0.098	0.098	0.342	10.791	48.193	67.09	-0.808	0.098
0.9	0.098	0.098	0.342	10.791	48.73	69.775	-0.909	0.098
1	0.098	0.098	0.342	10.791	49.023	71.436	-1.01	0.098
1.1	0.098	0.098	0.293	10.791	49.17	72.461	-1.111	0.098
1.2	0.098	0.098	0.293	10.791	49.219	72.949	-1.212	0.098
1.3	0.098	0.098	0.293	10.791	49.268	73.193	-1.313	0.146
1.4	0.098	0.098	0.342	10.791	49.316	73.34	-1.414	0.244
1.5	0.098	0.098	0.342	10.791	49.365	73.389	-1.515	0.537
1.6	0.098	0.098	0.342	10.791	49.365	73.437	-1.616	1.367
1.7	0.098	0.098	0.293	10.84	49.414	73.486	-1.717	2.881
1.8	0.098	0.098	0.293	10.84	49.414	73.535	-1.818	5.176
1.9	0.098	0.098	0.342	10.84	49.463	73.535	-1.919	8.691
2	0.098	0.098	0.293	10.84	49.512	73.584	-2.02	13.33
2.1	0.098	0.098	0.293	10.84	49.512	73.584	-2.121	18.896
2.2	0.098	0.098	0.293	10.84	49.561	73.633	-2.222	25.977
2.3	0.098	0.098	0.293	10.84	49.609	73.633	-2.323	34.229
2.4	0.098	0.098	0.293	10.84	49.609	73.682	-2.424	43.213
2.5	0.098	0.098	0.293	10.889	49.658	73.73	-2.525	53.857
2.6	0.098	0.098	0.342	10.889	49.707	73.73	-2.626	65.479
2.7	0.098	0.098	0.293	10.889	49.707	73.779	-2.727	77.539
2.8	0.098	0.098	0.293	10.889	49.756	73.779	-2.828	91.26
2.9	0.098	0.098	0.293	10.889	49.805	73.828	-2.929	100
3	0.098	0.098	0.293	10.889	49.854	73.877	0	0
3.1	0.098	0.098	0.293	10.889	49.854	73.877	0	0
3.2	0.098	0.098	0.293	10.889	49.902	73.926	0	0
3.3	0.098	0.098	0.293	10.937	49.951	73.975	0	0
3.4	0.098	0.098	0.293	10.937	49.951	74.023	0	0
3.5	0.098	0.098	0.293	10.937	50	74.023	0	0
3.6	0.098	0.098	0.293	10.937	50.049	74.072	0	0
3.7	0.098	0.098	0.293	10.937	50.098	74.121	0	0
3.8	0.098	0.098	0.293	10.937	50.146	74.17	0	0
3.9	0.098	0.098	0.293	10.986	50.146	74.17	0	0
4	0.098	0.098	0.293	10.986	50.195	74.219	0	0
4.1	0.098	0.098	0.293	10.986	50.244	74.268	0	0
4.2	0.098	0.098	0.293	10.986	50.293	74.316	0	0
4.3	0.098	0.098	0.293	10.986	50.342	74.316	0	0
4.4	0.098	0.098	0.293	10.986	50.391	74.365	0	0
4.5	0.098	0.098	0.293	10.986	50.439	74.414	0	0
4.6	0.098	0.098	0.293	10.986	50.488	74.463	0	0
4.7	0.098	0.098	0.293	11.035	50.488	74.512	0	0
4.8	0.098	0.098	0.293	11.035	50.537	74.561	0	0
4.9	0.098	0.098	0.293	11.035	50.586	74.609	0	0
5	0.098	0.098	0.293	11.035	50.635	74.609	0	0
5.1	0.098	0.098	0.293	11.035	50.684	74.658	0	0
5.2	0.098	0.098	0.293	11.084	50.732	74.707	0	0
5.3	0.098	0.098	0.293	11.084	50.781	74.756	0	0
5.4	0.098	0.098	0.293	11.084	50.83	74.805	0	0
5.5	0.098	0.098	0.293	11.084	50.879	74.805	0	0
5.6	0.098	0.098	0.293	11.084	50.928	74.854	0	0
5.7	0.098	0.098	0.293	11.084	50.928	74.902	0	0
5.8	0.098	0.098	0.293	11.133	50.977	74.951	0	0
5.9	0.098	0.098	0.293	11.133	51.025	75	0	0
6	0.098	0.098	0.293	11.133	51.074	75.049	0	0
6.1	0.098	0.098	0.293	11.133	51.123	75.098	0	0
6.2	0.098	0.098	0.293	11.133	51.172	75.146	0	0
6.3	0.098	0.098	0.293	11.182	51.221	75.146	0	0
6.4	0.098	0.098	0.293	11.182	51.27	75.195	0	0
6.5	0.098	0.098	0.293	11.182	51.318	75.244	0	0
6.6	0.098	0.098	0.293	11.182	51.367	75.293	0	0
6.7	0.098	0.098	0.293	11.182	51.416	75.342	0	0
6.8	0.098	0.098	0.293	11.182	51.465	75.342	0	0
6.9	0.098	0.098	0.293	11.182	51.514	75.391	0	0
7	0.098	0.098	0.293	11.23	51.514	75.439	0	0
7.1	0.098	0.098	0.293	11.23	51.611	75.488	0	0
7.2	0.098	0.098	0.293	11.23	51.611	75.537	0	0
7.3	0.098	0.098	0.293	11.23	51.66	75.586	0	0
7.4	0.098	0.098	0.293	11.23	51.709	75.586	0	0
7.5	0.098	0.098	0.293	11.279	51.758	75.684	0	0
7.6	0.098	0.098	0.293	11.279	51.807	75.684	0	0
7.7	0.098	0.098	0.293	11.279	51.855	75.732	0	0
7.8	0.098	0.098	0.293	11.279	51.904	75.781	0	0
7.9	0.098	0.098	0.293	11.279	51.953	75.83	0	0
8	0.098	0.098	0.293	11.279	52.002	75.879	0	0
8.1	0.098	0.098	0.293	11.328	52.051	75.879	0	0
